"property","value"
"version","1.2.0"
"build","1020009"
"fileFormat","1.19"
"deviceModel","24129PN74C"
"deviceBrand","Xiaomi"
"deviceBoard","sun"
"deviceManufacturer","Xiaomi"
"deviceBaseOS",""
"deviceCodename","REL"
"deviceRelease","16"
"depthFrontSensor","0"
"depthFrontResolution","null"
"depthFrontRate","null"
"depthBackSensor","0"
"depthBackResolution","null"
"depthBackRate","null"
"accelerometer Name","lsm6dsv Accelerometer Non-wakeup"
"accelerometer Vendor","STMicro"
"accelerometer Range","156.9064"
"accelerometer Resolution","0.0047856453"
"accelerometer MinDelay","2084"
"accelerometer MaxDelay","1000000"
"accelerometer Power","0.19"
"accelerometer Version","24064"
"linear_acceleration Name","linear_acceleration"
"linear_acceleration Vendor","QTI"
"linear_acceleration Range","156.91"
"linear_acceleration Resolution","0.01"
"linear_acceleration MinDelay","5000"
"linear_acceleration MaxDelay","200000"
"linear_acceleration Power","0.515"
"linear_acceleration Version","1"
"gravity Name","gravity  Non-wakeup"
"gravity Vendor","QTI"
"gravity Range","156.91"
"gravity Resolution","0.01"
"gravity MinDelay","5000"
"gravity MaxDelay","200000"
"gravity Power","0.515"
"gravity Version","1"
"gyroscope Name","lsm6dsv Gyroscope Non-wakeup"
"gyroscope Vendor","STMicro"
"gyroscope Range","34.906036"
"gyroscope Resolution","0.0012217296"
"gyroscope MinDelay","2084"
"gyroscope MaxDelay","1000000"
"gyroscope Power","0.53"
"gyroscope Version","24064"
"magnetic_field Name","ak0991x Magnetometer Non-wakeup"
"magnetic_field Vendor","akm"
"magnetic_field Range","4912.0503"
"magnetic_field Resolution","0.15"
"magnetic_field MinDelay","10000"
"magnetic_field MaxDelay","1000000"
"magnetic_field Power","1.1"
"magnetic_field Version","146990"
"pressure Name","bosch_bmp5 Pressure Sensor Non-wakeup"
"pressure Vendor","Bosch"
"pressure Range","1250.0"
"pressure Resolution","0.01"
"pressure MinDelay","40000"
"pressure MaxDelay","1000000"
"pressure Power","0.7"
"pressure Version","257"
"light Name","TCS3720ALSPRX Ambient Light Sensor Non-wakeup"
"light Vendor","xiaomi"
"light Range","20000.0"
"light Resolution","1.0"
"light MinDelay","0"
"light MaxDelay","0"
"light Power","0.38"
"light Version","66048"
"proximity Name","proximity Proximity Sensor Wakeup"
"proximity Vendor","XiaoMi(V1.6)"
"proximity Range","5.0"
"proximity Resolution","0.01"
"proximity MinDelay","0"
"proximity MaxDelay","0"
"proximity Power","0.001"
"proximity Version","1"
"temperature Name","null"
"temperature Vendor","null"
"temperature Range","null"
"temperature Resolution","null"
"temperature MinDelay","null"
"temperature MaxDelay","null"
"temperature Power","null"
"temperature Version","null"
"humidity Name","null"
"humidity Vendor","null"
"humidity Range","null"
"humidity Resolution","null"
"humidity MinDelay","null"
"humidity MaxDelay","null"
"humidity Power","null"
"humidity Version","null"
"attitude Name","rotation vector  Non-wakeup"
"attitude Vendor","xiaomi"
"attitude Range","1.0"
"attitude Resolution","0.01"
"attitude MinDelay","5000"
"attitude MaxDelay","210000"
"attitude Power","0.001"
"attitude Version","1"
"custom Name","lsm6dsv Accelerometer Non-wakeup"
"custom Vendor","STMicro"
"custom Range","156.9064"
"custom Resolution","0.0047856453"
"custom MinDelay","2084"
"custom MaxDelay","1000000"
"custom Power","0.19"
"custom Version","24064"
